Nom,Duree,Personnes,Type,Ingredients,Ustensiles,Etapes
Mostarda vénitienne (Italie),1 h 20 min,6,Sauce,"['250g', 'de pomme ', '40g', ""d'orange confites"", '800g', 'de sucre ', '40cl', 'de vin blanc ', '', 'moutarde (attention, à manier avec beaucoup de précaution et à doser goutte à goutte car il est extrêmement fort. Il est vendu généralement en pharmacie)', '250g', 'de coing ', '250g', 'de poire ', '40g', 'de cédrat confit ']","['casserole', 'saladier', 'balance de cuisine']","[{'Étape 1': 'Épluchez les fruits, coupez-les en tranches et faites-les cuire séparément dans le vin blanc qui ne doit être ni trop sec, ni trop moelleux.'}, {'Étape 2': ""Dès que les poires et les pommes sont cuites, passez au moulin à légumes et mettez dans la même casserole pour continuer la cuisson jusqu'à ce que le vin blanc soit entièrement absorbé.""}, {'Étape 3': ""Pesez, ajoutez le même poids en sucre, les fruits confits hachés très fin et laissez cuire jusqu'à ce que le sucre soit fondu et que le mélange soit bien amalgamé.""}, {'Étape 4': ""Laissez refroidir. Ajoutez quelques gouttes d'extrait de moutarde. Mélangez bien et mettez en pot.""}]"
"Sauce vierge ""spéciale poisson""",20 min,4,Sauce,"['1⁄21⁄2', 'poivron rouge ou jaune', '1c.à.s', 'c.à.s', 'de câpres ', '', 'pignons ', '11', 'citron (jaune ou vert)', '', 'basilic hâché', '2c.à.c', 'c.à.c', 'de tomate séchée ', '', ""huile d'olive "", '22', 'échalotes ', '1515', 'olives noires (ou 20) dénoyautées']","['Couteau', 'Four', 'saladier', 'Blender chauffant', 'dénoyauteur']","[{'Étape 1': 'Pelez et ciselez finement les échalotes.'}, {'Étape 2': 'Coupez en tous petits dés le poivron.'}, {'Étape 3': 'Hachez au couteau les tomates séchées et les câpres.'}, {'Étape 4': 'Emincez les olives noires.'}, {'Étape 5': 'Mélangez le tout dans un saladier, salez légèrement, poivrez.'}, {'Étape 6': ""Ajoutez le basilic haché (1 grosse càc) et recouvrez à niveau d'huile d'olive.""}, {'Étape 7': 'Ajoutez le jus du citron (selon votre goût, 1 demi citron peut suffire) et mélangez bien.'}, {'Étape 8': 'Laissez mariner au moins 1 à 2h au frais.'}, {'Étape 9': ""Servir en accompagnement d'un poisson vapeur ou cuit au four.""}]"
Sauce bulgare ,10 min,8,Sauce,"['22', 'yaourts natures', '1c.à.c', 'c.à.c', 'de paprika ', '1c.à.c', 'c.à.c', 'de jus de citron ', '', 'sel ', '', 'poivre ', '1c.à.c', 'c.à.c', 'de cerfeuil haché', '1c.à.c', 'c.à.c', 'de ciboulette ']","['Cuillère en bois', 'Frigo']","[{'Étape 1': ""Mélanger tous les ingrédients dans l'ordre.""}, {'Étape 2': ""Mettre au frais, jusqu'au moment de servir.""}]"
Sauce au yaourt curry et moutarde,5 min,4,Sauce,"['22', 'yaourts natures', '1c.à.c', 'c.à.c', ""de moutarde à l'ancienne "", '', 'sel ', '', 'curry ', '1⁄21⁄2', 'échalote ']","['Mixeur', 'Couteau', 'Cuillère en bois']","[{'Étape 1': ""Emincer finement l'échalote, le mieux étant de la hâcher au mixer.""}, {'Étape 2': 'Mélanger aux yaourts. Ajouter le sel et le curry.'}, {'Étape 3': ""Idéal en assaisonnement d'une salade de haricots verts.""}]"
Vinaigrette (au yaourt ou fromage blanc),5 min,4,Sauce,"['1c.à.s', 'c.à.s', 'de fromage blanc ou yaourt ou petit suisse', '1petite cuillère', 'de moutarde ', '', 'poivre ', '', 'sel ', '', 'persil ', '1c.à.s', 'c.à.s', ""d'huile d'olive "", '1c.à.s', 'c.à.s', 'de vinaigre ', '2c.à.s', 'c.à.s', ""d'huile de tournesol "", '', 'échalote ciselées', '', 'ciboulette ']","['Entonnoir', 'Fouet cuisine', 'saladier', 'Cuillère en bois']","[{'Étape 1': 'Mettre tout les ingrédients dans le saladier et fouetter énergiquement. '}, {'Étape 2': 'Poser la salade dessus et mélanger ! '}, {'Étape 3': 'On peut ajouter des dés de fromages fermes ou semi-fermes.'}]"
Rougail mangue verte,15 min,4,Sauce,"['11', 'piment ', '11', 'oignon ', '', 'huile ', '', 'sel ', '11', 'mangue verte', '', 'de citron vert ']","['Presse-ail', 'Couteau', 'saladier', 'lot de 12 ramequins']","[{'Étape 1': 'Epluchez la mangue.'}, {'Étape 2': 'Réduisez votre mangue en petits morceaux en tapotant dessus dans tous les sens avec un couteau. Coupez votre oignon en petits morceaux.'}, {'Étape 3': ""Mélangez oignon et mangue. Ajoutez y le piment écrasé ou en morceaux, l'huile, le sel, le jus de citron.""}, {'Étape 4': 'Servez frais dans un ramequin.'}]"
Msemen ou beurre rance fondu (Maroc),2 j 1 h,4,Sauce,"['', 'de beurre frais non pasteurisé (à acheter à la ferme ou sur le marché, sinon ça ne marche pas)', '16g', 'de sel ']","['Cuillère en bois', 'casserole', 'Écumoire', 'Couvercle', 'balance de cuisine']","[{'Étape 1': 'Mélanger beurre et sel et laisser reposer toute une nuit. '}, {'Étape 2': ""Le lendemain, mettre à fondre à feu doux en remuant sans arrêt lentement et écumer pendant l'ébullition. ""}, {'Étape 3': 'Une fois ce beurre fondu, le vider dans un pot en terre ou en fonte. '}, {'Étape 4': 'Laisser refroidir et couvrir le récipient. '}, {'Étape 5': 'Le msemen sera prêt une semaine plus tard. '}, {'Étape 6': 'Il se conserve une année et devient de plus en plus fort (donc avec le temps en mettre de moins en moins dans les préparations).'}]"
vinaigrette,5 min,2,Sauce,"['', 'huile 40 cl', '', 'vinaigre 20 cl', '', 'eau 20 cl', '', 'moutarde 20 cl', '', 'sel 1 cuillère à soupe rase', '', 'poivre 1 cuillère à soupe rase']","['Entonnoir', 'bol', 'Cuillère en bois', 'blender']","[{'Étape 1': 'Pour gagner du temps, je prépare la vinaigrette au litre en versant tous les ingrédients dans le bol du blender, comme il est gradué, pas besoin de mesurer, il suffit de verser en allant de 20 en 20 cl.'}, {'Étape 2': ""L'eau allège la préparation et permet de mieux l'homogénéiser.""}, {'Étape 3': 'Quelques secondes de mixage et une sauce salade bien onctueuse est prête pour plusieurs jours. '}, {'Étape 4': ""Je la garde dans une bouteille en verre (récup jus d'orange par exemple)bien fermée.""}, {'Étape 5': 'Les ingrédients se séparent très peu au fil du temps, il suffit donc de retourner 1 ou 2 fois la bouteille pour tout remélanger.'}]"
Sauce oignon moutarde,20 min,4,Sauce,"['44', 'oignons émincés', '2c.à.s', 'c.à.s', ""de moutarde à l'ancienne "", '', 'poivre ', '', 'sel ', '6c.à.s', 'c.à.s', 'de crème fraîche épaisse (au moins)']","['pôele', 'Cuillère en bois', 'dénoyauteur']","[{'Étape 1': ""Faire revenir l'oignon émincé dans une poêle avec une pointe d'huile d'olive.""}, {'Étape 2': ""Quand il est doré (ou avant selon les goûts), ajouter la moutarde à l'ancienne, bien mélanger.""}, {'Étape 3': 'Ajouter ensuite la crème fraîche, saler et poivrer. Continuer à remuer en laissant sur le feu, il faut obtenir une couleur brunâtre.'}]"
Coulis de groseille,10 min,1,Sauce,"['', 'sucre ', '1kg', 'de groseilles ']","['chinois', 'bol', 'Top 5 des meilleures passoires']","[{'Étape 1': ""Écraser les groseilles dans un bol afin qu'elles rendent le plus de jus possible.""}, {'Étape 2': 'Les passer ensuite à travers une passoire fine à trous très petits pour récupérer le jus et retirer la peau et les pépins des fruits.'}, {'Étape 3': 'Sucrer selon le goût.'}, {'Étape 4': 'Le coulis est prêt, servir très frais.'}, {'Étape 5': ""Il est possible d'épaissir le coulis en rajoutant un peu de crème fraîche, un peu de yaourt ou de crème épaisse.""}]"
Sauce au yaourt à la moutarde,5 min,4,Sauce,"['250g', 'de yaourt ', '2c.à.c', 'c.à.c', 'de moutarde de Dijon ', '2pincées', 'de sel ']","['bol', 'Cuillère en bois']",[{'Étape 1': 'Mélanger tous les ingrédients dans un bol.'}]
Rouille légère,25 min,4,Sauce,"['11', 'piment frais rouge', '11', 'pomme de terre cuite', '1gousse', ""d'ail "", '20cl', 'de bouillon ', '', 'poivre ', '', 'sel ', '22', 'foie de lotte ou de dorade', '50cl', 'de court-bouillon ']","['saladier', 'chinois', 'Fouet cuisine']","[{'Étape 1': 'Pochez les foies au court-bouillon pendant 5 minutes. Egouttez.'}, {'Étape 2': ""Epépinez et hachez le piment finement. Mélangez-le avec la pomme de terre écrasée, l'ail pilé et les foie pilés également.""}, {'Étape 3': 'Laissez reposer 1 heure.'}, {'Étape 4': 'Incorporez le bouillon chaud prélevé dans la bouillabaisse en fouettant. Passez la sauce au chinois avant de servir.'}]"
Vinaigrette au miel et au balsamique,2 min,4,Sauce,"['5cl', ""d'huile d'olive "", '2c.à.c', 'c.à.c', 'de moutarde ', '5cl', 'de vinaigre balsamique ', '', 'poivre ', '', 'sel ', '2c.à.c', 'c.à.c', ""de miel si possible d'excellente  qualité""]",['Entonnoir'],"[{'Étape 1': ""Faire 'prendre' l'huile et la moutarde, ajouter le vinaigre, le sel et le poivre.""}, {'Étape 2': 'Bien émulsionner le tout et rajouter le miel.'}]"
Vinaigrette légère,5 min,6,Sauce,"['1c.à.s', 'c.à.s', 'de moutarde ', '1c.à.s', 'c.à.s', 'de vinaigre de framboise ', '', 'poivre ', '', 'sel ', '12.5cl', 'de crème allégée ']","['Entonnoir', 'Cuillère en bois']","[{'Étape 1': ""Mélanger comme pour une vinaigrette classique et goûter pour rectifier l'assaisonnement, pour que cela soit plus ou moins fort.""}]"
sauce aux brocolis,30 min,4,Sauce,"['45g', 'de fromage râpé ', '', 'quatre-épices ', '', 'poivre ', '500g', 'de brocoli ', '5filets', ""d'anchois "", '2dl', 'de crème ']","['Cocotte en fonte', 'Micro-ondes', 'Mixeur', 'Cuillère en bois', 'Râpe', 'plat']","[{'Étape 1': 'Faire blanchir les brocolis dans une cocotte allant au micro-ondes pendant 6 min (puissance 750 W). '}, {'Étape 2': 'Hacher les brocolis et les anchois. '}, {'Étape 3': 'Dans un plat allant au micro-ondes, mélanger le hachis brocolis-anchois avec la crème. '}, {'Étape 4': 'Faire cuire à couvert pendant 6 min (puissance 750 W). '}, {'Étape 5': 'Ajouter le fromage râpé et assaisonner. '}, {'Étape 6': 'Servir.'}]"
Sauce à l'ail type libanaise,15 min,4,Sauce,"['5gousses', ""d'ail "", '33', ""huile d'olive "", '1⁄21⁄2', 'jus de citron ', '', 'persil (facultatif)', '', 'poivre ', '', 'sel ']","['Presse-ail', 'Mixeur', 'bol', 'saladier']","[{'Étape 1': ""plongez vos gousses d'ails dans un volume d'eau bouillante( apres avoir enlevé la peau ). Laissez quelques minute, puis repechez vos gousses d'ails que vous allez reduire en purée. ( au mortier si vous en avez, ou alors au mixer sa marche aussi). ""}, {'Étape 2': ""Une fois avoir obtenu votre purée d'ail, la placer dans un bol, et ajoutez progressivement l'huile tout en mélangeant energiquement(comme une mayonnaise). alterner avec le jus de citron.""}, {'Étape 3': 'Salez poivrez, et ajouter un peu de persil haché si vous le desirez!! '}, {'Étape 4': 'Accompagne tres bien les grillades et viandes roties.'}]"
Purée d'oignons de Roscoff,40 min,4,Sauce,"['800g', ""d'oignon de Roscoff"", '1l', 'de bouillon de volaille ', '', 'poivre ', '', 'sel ']","['Couteau', 'casserole', 'Mixeur']","[{'Étape 1': 'Peler les oignons et les couper en 4.'}, {'Étape 2': 'Les plonger dans le bouillon de volaille chaud pendant 30 minutes.'}, {'Étape 3': 'Les égoutter soigneusement, les mixer puis assécher la purée obtenue à feu doux dans une casserole.'}, {'Étape 4': ""Rectifier l'assaisonnement si nécessaire.""}]"
Mayonnaise sans oeuf (au lait concentré),5 min,2,Sauce,"['1c.à.s', 'c.à.s', 'de moutarde ', '10cl', ""d'huile "", '11', ""citron pour la moitié de son jus (ou l'équivalent en vinaigre)"", '25cl', 'de lait concentré sortant du réfrigérateur (soit une petite boite)']",[],"[{'Étape 1': ""Mettre le lait concentré, la moutarde et l'huile dans un shaker plastique avec une hélice.""}, {'Étape 2': 'Secouer énergiquement une douzaine de fois.'}, {'Étape 3': 'Ajouter le citron (ou le vinaigre) et agiter à nouveau (3 ou 4 secousses).'}]"
Sauce poivron tomate et curry,1 h,4,Sauce,"['11', 'poivron rouge ', '11', 'tomate ', '1c.à.s', 'c.à.s', 'de curry ', '2c.à.s', 'c.à.s', 'de crème fraîche ', '25cl', 'de vin blanc ', '22', ""oignons et de l'ail""]",['Mixeur'],"[{'Étape 1': ""Faire mijoter à petit feu le poivron coupé en morceaux, la tomate, les oignons et l'ail avec un peu d'eau sans les faire roussir.""}, {'Étape 2': 'Les mixer ensuite.'}, {'Étape 3': ""Ajouter le vin blanc, laisser un peu évaporer l'alcool. Retirer du feu.""}, {'Étape 4': 'Au dernier moment, rajouter le curry et la crème fraîche.'}]"
Confit d'oignons au curry,4 h 15 min,2,Sauce,"['11', 'oignon (environ 200gr)', '50cl', 'de vin muscadet', '50g', 'de sucre ', '1c.à.c', 'c.à.c', 'de curry ', '1filet', ""d'huile d'olive ""]","['four', 'Set 3 poêles', 'Couteau', 'Cuillère en bois', 'Cocotte en fonte', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': 'Préchauffer votre four à 100°C'}, {'Étape 2': ""Couper en petit dés l'oignon et faite revenir à la poêle avec un peu d'huile d'olive pour les faire blanchir.""}, {'Étape 3': 'Dans un verre mélanger le vin muscadet, le sucre et le curry. Bien mélanger.'}, {'Étape 4': ""Dans un petit récipient (type mini cocotte), mettre l'oignon émincé et verser le contenu du verre.""}, {'Étape 5': 'Enfourner à 100°C pendant 3h puis 1h à 125°C. Laisser refroidir.'}]"
Vinaigrette asiatique (pour salades),8 min,4,Sauce,"['', ""huile d'olive extra vierge"", '', 'sésame ', '', 'vinaigre aromatisé à la noix', '', 'ail en poudre', '', 'sel ', '', 'poivre ', '', 'coriandre fraiche', '', 'sauce soja ']","['Entonnoir', 'saladier', 'pôele', 'dénoyauteur']","[{'Étape 1': 'Dans un petit récipient, mélangez :'}, {'Étape 2': ""- 3 cuillères à soupe d'huile d'olive""}, {'Étape 3': '- 1 cuillère à café de vinaigre aromatisé à la noix'}, {'Étape 4': ""- 1/2 cuillère à café d'ail ""}, {'Étape 5': 'Torréfiez 1 cuillère à café et demi de graines de sésame en les faisant brunir sur une poele à feu vif 2-3 minutes, puis ajoutez les à la préparation.'}, {'Étape 6': 'A la toute fin, coupez finement la coriandre et mélangez là à la sauce.'}, {'Étape 7': 'Cette vinaigrette rendra plus savoureuse encore vos salades (laitue, mâche, frisée...)'}]"
"Sauce rouge pour gibier,  filet et magret de canard",40 min,6,Sauce,"['1branche', 'de thym ', '1bouteille', 'de vin rouge ', '2c.à.s', 'c.à.s', 'de confiture de fruits rouges ', '2c.à.s', 'c.à.s', 'de vinaigre balsamique ', '170g', 'de beurre ', '1petit verre', 'de cognac ou Armagnac', '', 'poivre ', '', 'sel ', '1c.à.s', 'c.à.s', 'de farine (ou fond de veau)', '55', 'échalotes ', '1feuille', 'de laurier ']","['casserole', 'Set 3 poêles', 'saladier', 'Tamis', 'balance de cuisine']","[{'Étape 1': 'Dans un casserole mettre en même temps : un peu de beurre, les échalotes hachées finement et faire revenir quelques instants.'}, {'Étape 2': 'Ajouter la bouteille de vin rouge, sel et poivre ; porter à ébullition.'}, {'Étape 3': ""Faire réduire jusqu'à obtention d'environ un verre et demi de jus.""}, {'Étape 4': 'Ajouter en mélangeant le vinaigre balsamique.'}, {'Étape 5': 'Faire fondre dans ce liquide le beurre coupé en morceaux à feu doux sans cesser de tourner. Passer la réduction au tamis.'}, {'Étape 6': ""Flamber au Cognac ou à l'Armagnac""}, {'Étape 7': 'Ajouter la farine ou un peu de fond de veau pour obtenir une sauce à peine onctueuse.'}, {'Étape 8': 'Terminer avec la confiture de fruits rouge.'}, {'Étape 9': 'En saison on peut ajouter quelques baies de groseilles.'}, {'Étape 10': 'Réchauffer au bain marie.'}]"
Sauce salade asiatique aux agrumes (léger),10 min,1,Sauce,"['2c.à.s', 'c.à.s', ""d'huile de cacahuètes"", '1c.à.c', 'c.à.c', ""d'huile de sésame "", '4c.à.s', 'c.à.s', 'de vinaigre de vin de riz', '2c.à.s', 'c.à.s', 'de jus de citron vert frais pressé', '2c.à.s', 'c.à.s', 'de miel liquide ', '2c.à.s', 'c.à.s', 'de moutarde de Dijon ', '4c.à.s', 'c.à.s', ""de jus d'orange pressé frais"", '2c.à.s', 'c.à.s', 'de soja ']","['Mixeur', 'cuillère à soupe']","[{'Étape 1': ""Mettre tous les ingrédients dans un mixer et zoummm zoummmm c'est prêt ou bien dans un récipient et secouer pour 30 secondes.""}, {'Étape 2': 'A servir à part pour que les invités puissent choisir la quantité à mettre. '}, {'Étape 3': 'Goût très très fin. '}, {'Étape 4': 'côté calories, 32 calories pour 1 cuillère à soupe de sauce, et pas de graisse saturée.'}]"
sauce tomate rapide et parfumée pour pâtes et pizzas (et ses variantes),20 min,4,Sauce,"['22', 'oignons ', '2gousses', ""d'ail "", '1grosse boîte', 'de tomates pelées ', '11', 'brique de coulis de tomate (entre 400 et 500 g)', '', 'herbes aromatiques au choix (thym, romarin, origan, marjolaine, basilic...)']","['Top 5 des meilleures passoires', 'Set 3 poêles', 'casserole', 'Top des meilleures plaques à four', 'Râpe', 'bol', 'dénoyauteur']","[{'Étape 1': ""Hachez finement l'oignon et l'ail. ""}, {'Étape 2': ""Faites chauffer de l'huile d'olive dans une poêle (1 ou 2 cuillères à soupe) et faites-y revenir l'oignon et l'ail sur feu moyen (6/12 chez moi) jusqu'à ce qu'ils soient bien fondus.""}, {'Étape 3': 'Pendant ce temps, égouttez les tomates et pressez-les un peu pour faire sortir le jus. Coupez-les en petits morceaux. Ajoutez-les aux oignons et laissez cuire quelques minutes.'}, {'Étape 4': 'Ajoutez les herbes; salez, poivrez.'}, {'Étape 5': 'Ajouter le coulis de tomates et laissez cuire encore quelques minutes.'}, {'Étape 6': ""C'est prêt!""}, {'Étape 7': '---'}, {'Étape 8': 'Maintenant quelques idées pour varier les plaisirs...'}, {'Étape 9': 'Sauce al arrabiata: '}, {'Étape 10': ""Ajoutez du piment en poudre ou tout simplement un sachet d'huile pimentée pour pizza.""}, {'Étape 11': '--'}, {'Étape 12': 'Sauce a la norma:'}, {'Étape 13': ""Coupez 2 aubergines en dés. Disposez-les dans une passoire en salant régulièrement et posez un poids dessus (une casserole pleine d'eau par exemple). Laissez dégorger 30 min. ""}, {'Étape 14': ""Rincez les morceaux d'aubergine et essuyez-les avec un torchon.""}, {'Étape 15': ""Faites-les griller sur feu moyen dans une poêle avec beaucoup d'huile (5 ou 6 cuillères à soupe) en remuant régulièrement jusqu'à ce qu'elles soient cuites. ""}, {'Étape 16': 'Disposez sur les pâtes une couche de sauce, des aubergines grillées et saupoudrez de parmesan rapé. '}, {'Étape 17': '--'}, {'Étape 18': 'Sauce bolognaise: '}, {'Étape 19': ""Faites revenir avec les oignons et l'ail une petite carotte et un morceau de céleri branche coupés en petits dés. ""}, {'Étape 20': ""Ajoutez  dans l'ordre, en laissant griller à chaque fois, 200 g de chair à saucisse, 200 g de veau haché et enfin 200 g de boeuf haché. ""}, {'Étape 21': 'Continuez ensuite comme pour la sauce simple. '}, {'Étape 22': 'Ajoutez avant de servir une grosse cuillère de crème fraîche (en option).'}]"
Vinaigrette balsamique à la tomate,6 min,4,Sauce,"['1c.à.s', 'c.à.s', 'de vinaigre balsamique blanc', '22', 'tomates ', '3c.à.s', 'c.à.s', ""d'huile d'olive extra vierge"", '', 'sel ', '', 'poivre ']","['Entonnoir', 'Tamis', 'Rouleau à pâtisserie', 'Cuillère en bois', 'dénoyauteur']","[{'Étape 1': 'Concasser grossièrement les tomates et les passer au tamis fin.'}, {'Étape 2': ""Mélanger ce jus de tomates avec le vinaigre balsamique blanc, l'huile d'olive, le sel et le poivre.""}]"
Sauce au beurre blanc pour poisson au Monsieur Cuisine,10 min,6,Sauce,"['120g', 'de beurre ', '30cl', 'de crème fraîche ', '30cl', 'de vin blanc ', '3c.à.s', 'c.à.s', 'de jus de citron ', '33', 'échalotes ', '', 'sel et poivre ']","['couteau', 'Monsieur Cuisine', 'balance de cuisine']","[{'Étape 1': 'Émincez finement les\xa0échalotes au couteau. '}, {'Étape 2': 'Versez dans la cuve de votre Monsieur Cuisine puis ajoutez le vin et le citron. Lancez la cuisson pendant 5 min / vit. 1 / 100 °C. '}, {'Étape 3': 'Stoppez la cuisson et ajoutez le beurre en morceaux. Laissez fondre sans cuire et mélangez pendant 1 min. / vit. 3 / 0 °C. '}, {'Étape 4': 'Au moment de servir, délayez la crème fraîche dans la préparation.'}]"
Compotée de mangue au gingembre et citron vert,20 min,6,Sauce,"['1petit morceau', 'de gingembre frais', '1sachet', 'de sucre vanillé ', '1pincée', 'de poivre noir fais moulu', '1c.à.s', 'c.à.s', 'de jus de citron ', '11', 'mangue bien mûre et aromatique', '1cuillère', 'de thé de cannelle', '11', 'citron vert (pour les zestes)', '20g', 'de beurre salé ']","['casserole', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Dans une petite casserole, faire fondre doucement le beurre et ajouter la cannelle, le poivre et le gingembre. '}, {'Étape 2': 'Ajouter les morceaux (assez gros) de mangue et laisser mijoter à feu très doux.'}, {'Étape 3': 'Ajouter le sucre et les zestes de citron vert. Mélanger délicatement. '}, {'Étape 4': 'Ajouter du jus de citron.'}, {'Étape 5': ""Continuer de remuer doucement jusqu'à ce que les fibres de la mangue soient bien tendres. Réserver au frais.""}]"
Béchamel,15 min,6,Sauce,"['50g', 'de farine ', '50g', 'de beurre ', '60cl', 'de lait ', '', 'sel ', '', 'poivre ', '', 'muscade râpée']","['casserole', 'Cuillère en bois', 'Râpe', 'balance de cuisine']","[{'Étape 1': 'Faites fondre le beurre dans une casserole à fond épais. '}, {'Étape 2': 'Ajoutez la farine et remuez avec une cuillère de bois sans laisser colorer. La farine doit juste épaissir.'}, {'Étape 3': ""Versez le lait progressivement, sans cesser de remuer, jusqu'à ce que la sauce épaississe. ""}, {'Étape 4': 'Assaisonnez de sel, poivre et muscade râpée.'}]"
Mayonnaise maison,10 min,4,Sauce,"['1c.à.s', 'c.à.s', 'de moutarde de Dijon ', '1filet', 'de vinaigre ', '10cl', ""d'huile neutre"", '', 'sel ', '', 'poivre ', '11', ""jaune d'oeuf ""]","['saladier', 'Fouet cuisine']","[{'Étape 1': ""Les ingrédients doivent être à température ambiante.\nMélangez le jaune d'oeuf, un peu de sel, poivre, la moutarde et le vinaigre.""}, {'Étape 2': ""Fouetter en versant peu à peu l'huile, la mayonnaise doit peu à peu épaissir.""}, {'Étape 3': 'On peut y ajouter des herbes ou du citron pour la parfumer.'}]"
Béchamel rapide et facile,7 min,4,Sauce,"['25cl', 'de lait ', '20g', 'de beurre ', '2c.à.s', 'c.à.s', 'de farine ', '', 'sel ', '', 'poivre ']","['Micro-ondes', 'Fouet cuisine', 'saladier', 'Grands récipient', 'balance de cuisine']","[{'Étape 1': 'Dans un grand récipient, faire fondre le beurre 1 minute au micro-ondes.\nLe sortir et ajouter la farine en remuant bien.'}, {'Étape 2': 'Porter le lait à ébullition, le laisser bouillir quelques instants.'}, {'Étape 3': 'Verser le lait sur le mélange farine/beurre en fouettant. Assaisonner.'}, {'Étape 4': 'Remettre le tout au micro-ondes pendant 1 minute.'}, {'Étape 5': ""Bien fouetter, c'est prêt !""}]"
Sauce pour poisson,15 min,4,Sauce,"['20g', 'de beurre ', '4c.à.s', 'c.à.s', 'de jus de citron jaune', '', 'herbes de Provence (ou herbes fraîches si vous préférez)', '1grosse c.à.s', 'grosse c.à.s', 'de moutarde ', '', 'poivre ', '', 'sel ', '1c.à.s', 'c.à.s', 'de maïzena ou autre (si vous préférez les sauces plus épaisses)', '40cl', 'de crème liquide ']","['casserole', 'Cuillère en bois', 'balance de cuisine']","[{'Étape 1': 'Faire fondre le beurre dans une casserole et déglacer avec le jus de citron.'}, {'Étape 2': 'Ajouter la crème et la moutarde, bien mélanger.'}, {'Étape 3': 'Assaisonner à votre goût avec le sel, le poivre et les herbes.'}, {'Étape 4': 'Laisser cuire environ 5 minutes à feu doux. Ajouter éventuellement de la maizena pour épaissir la sauce.'}, {'Étape 5': 'Servir pour accompagner votre poisson. Bon appétit !'}]"
Vinaigrette simple et rapide,2 min,1,Sauce,"['1c.à.c', 'c.à.c', 'de moutarde ', '2c.à.s', 'c.à.s', 'de vinaigre ', '3c.à.s', 'c.à.s', ""d'huile d'olive "", '', 'poivre ', '', 'sel ']","['saladier', 'Fouet cuisine']","[{'Étape 1': ""Mélangez la moutarde et le vinaigre. Ajoutez ensuite l'huile. Mélangez bien, voilà c'est prêt !""}]"
Sauce pesto,30 min,2,Sauce,"['30g', 'de pignons de pin', '3gousses', ""d'ail "", '12.5cl', ""d'huile d'olive "", '50g', 'de Parmesan ', '', 'poivre ', '', 'sel ', '60g', 'de basilic frais ']","['couteau', 'Mixeur']","[{'Étape 1': 'Emincez les gousses d’ail et les couper en petits morceaux.'}, {'Étape 2': 'Hachez le basilic.'}, {'Étape 3': 'Mixez les pignons, l’ail, l’huile et le parmesan.'}, {'Étape 4': 'A la fin rajoutez le basilic et mixer encore une fois jusqu’à ce que la sauce soit lisse.'}, {'Étape 5': 'Assaisonnez de sel et poivre'}, {'Étape 6': 'Vous pouvez ensuite conservez cette sauce dans des petits pots de bébé en la congelant ou en la stérilisant'}]"
Sauce bolognaise facile,1 h 15 min,4,Sauce,"['11', 'oignon ', '2gousses', ""d'ail "", '22', 'carottes et 1 navet', '400g', 'de boeuf haché ', '1petite boîte', 'de champignon entiers', '20cl', 'de vin blanc ', '4pincées', 'de sucre en poudre ', '', 'poivre ', '', 'sel ', '', 'herbes de Provence ', '22', 'feuilles de laurier ', '20cl', 'de bouillon de boeuf ', '1bocal', 'de tomates pelées (environ 720 g) avec son jus', '1petite boîte', 'de double concentré de tomates (environ 70 g)']","['bol', 'sauteuse', 'Cuillère en bois', 'pôele', 'saladier', 'Couvercle', 'dénoyauteur', 'balance de cuisine']","[{'Étape 1': ""La cuisson se fait dans une sauteuse. Faire revenir dans de l'huile d'olive chaude l'oignon et les 2 gousses d'ail grossièrement hachés, à petit feu pour ne pas qu'ils brûlent. Mélanger souvent.""}, {'Étape 2': 'Quand les oignons ont blondis, rajouter les carottes et le navet coupés en petits dés et cuire à feu moyen 5 mn tout en mélangeant souvent. '}, {'Étape 3': ""Ajouter 400 g de boeuf haché et cuire en mélangeant souvent, jusqu'à ce que la viande soit un peu cuite. ""}, {'Étape 4': 'Ajouter les champignons et mélanger. '}, {'Étape 5': ""Ajouter le vin et laisser mijoter à feu moyen jusqu'à ce que le vin se soit presque entièrement évaporé. ""}, {'Étape 6': 'Ajouter le bocal de tomates et la boîte de concentré et mélanger. Baisser le feu. '}, {'Étape 7': 'Ajouter 4 pincées de sucre en poudre, sel et poivre (attnetion, pas de trop, il vaut mieux en rajouter par la suite), éventuelles herbes de Provence et feuilles de laurier. '}, {'Étape 8': ""Mélanger puis laisser cuire 45 mn à 1h environ, jusqu'à ce que le jus des tomates pelées soit pratiquement disparu. Mélanger de temps en temps pendant la cuisson et surtout ne pas couvrir d'un couvercle.""}, {'Étape 9': 'Oter les feuilles de laurier et servez'}]"
